Fallnummer;Fallbeschreibung;Rechtsprechung
8 AZR 140/23;Die Parteien streiten über einen Anspruch des Klägers auf Zahlung einer Entschädigung nach § 15 Abs. 2 AGG wegen eines Verstoßes gegen das Verbot der Diskriminierung aufgrund des Alters im Rahmen eines Bewerbungsverfahrens. Der 1952 geborene Kläger hat die Erste Staatsprüfung für das Lehramt für die Sekundarstufe I in den Fächern Deutsch und Musik sowie für das Lehramt für die Sekundarstufe II in den Fächern Musik und Philosophie absolviert. Zur Ersten Staatsprüfung für das Lehramt für die Sekundarstufe I hat er sich erfolgreich einer Erweiterungsprüfung im Fach Praktische Philosophie unterzogen. Zudem hat er die Zweite Staatsprüfung für das Lehramt für die Sekundarstufe II in den Fächern Philosophie und Musik abgelegt. Nach langjähriger Tätigkeit als Lehrer bei dem beklagten Land ist er wegen Erreichens der Regelaltersgrenze in der gesetzlichen Rentenversicherung (im Folgenden Regelaltersgrenze) seit Anfang des Jahres 2018 im Altersruhestand. Seitdem war er wiederholt im Rahmen befristeter Arbeitsverhältnisse als Lehrer für das beklagte Land tätig.;
4 AZR 195/23;Die Parteien streiten über die Geltung des Tarifvertrags für den öffentlichen Dienst (TVöD) im Bereich der Vereinigung der kommunalen Arbeitgeberverbände (TVöD/VKA) für ihr Arbeitsverhältnis und sich daraus ergebende Vergütungsansprüche des Klägers. Der Kläger, der über eine abgeschlossene Ausbildung als Assistent für Hotelmanagement verfügt und seit 1. Juli 2020 Mitglied der Vereinten Dienstleistungsgewerkschaft - ver.di ist, war von 2016 bis 2018 und vom 1. Mai 2019 bis zum 31. März 2024 bei der Beklagten, zuletzt als „Mitarbeiter Service“, beschäftigt. Arbeitsvertraglich war ein monatliches Festgehalt iHv. 2.000,00 Euro brutto vereinbart.;
5 AZR 232/23;Die Parteien streiten über die Zahlung einer Pauschale für Verpflegungsmehraufwand. Der Kläger ist seit 1991 bei der Beklagten als Paketzusteller beschäftigt. Er beginnt und beendet seine Tätigkeit arbeitstäglich im Depot der Beklagten in T. Dort verrichtet er vor Beginn der Zustellfahrten Vorbereitungsarbeiten und nach Abschluss der Fahrten Nachbereitungsarbeiten. Auf das Arbeitsverhältnis finden seit dem Jahr 2008 kraft arbeitsvertraglicher Vereinbarung die vom Landesverband Thüringen des Verkehrsgewerbes e.V. und der Vereinten Dienstleistungsgewerkschaft ver.di, Landesbezirk Thüringen, abgeschlossenen Tarifverträge Anwendung. § 14 des Manteltarifvertrags vom 12. Juli 2017 (MTV) bestimmt:;
5 AZR 212/23;Die Parteien streiten über Vergütung für Umkleide-, Körperreinigungs- und Wegezeiten. Der Kläger arbeitet seit Februar 2008 als vollzeitbeschäftigter Containermechaniker bei der Beklagten. Gemäß § 2 des Arbeitsvertrags vom 1. Februar 2009 finden die Tarifverträge für die gewerblichen Arbeitnehmer und Angestellten des Speditions-, Transport- und Logistikgewerbes in Bayern in ihrer jeweils gültigen Fassung auf das Arbeitsverhältnis Anwendung, insbesondere der Manteltarifvertrag für diese Beschäftigten idF vom 8. Dezember 2014 - gültig ab 1. Oktober 2014 - (MTV). Ferner existiert eine Gesamtbetriebsvereinbarung „Allgemeine Arbeitsordnung“ vom 22. Januar 2008 (GBV). Nach deren Nr. 5 richtet sich die Dauer der Arbeitszeit nach den gesetzlichen, tariflichen und einzelvertraglichen Bestimmungen sowie Betriebsvereinbarungen und die Mitarbeiter müssen sich zum jeweils festgelegten Arbeitsbeginn in Arbeitskleidung am Arbeitsplatz befinden. Zudem besteht eine Betriebsvereinbarung zur Regelung der betrieblichen Arbeitszeiten vom 31. März 2004 (BV). Unter Nr. 5 Abs. 7 BV ist bestimmt, dass die tägliche Arbeitszeit mit Abschluss der jeweils zugeteilten Arbeit oder der entsprechenden Anweisung des Vorgesetzten endet.;
5 AZR 122/99;Gemäß § 611a Abs. 2 BGB können auch Körperreinigungszeiten vergütungspflichtige Arbeitszeit sein. Beispiele;
5 AZR 270/20;Darlegung § 287 Abs. 2 iVm. Abs. 1 Satz 1 und 2 ZPO Der Arbeitnehmer trägt die Darlegungs- und Beweislast dafür, dass vergütungspflichtige Umkleide- und Körperreinigungszeiten angefallen sind, vom Arbeitgeber veranlasst wurden und im geltend gemachten Umfang erforderlich waren.;
9 AZR 181/23;Der Kläger nimmt den Beklagten auf Rückzahlung eines zu Ausbildungszwecken gegebenen Darlehens in Anspruch. Der Kläger ist Insolvenzverwalter über das Vermögen der G Fluggesellschaft mbH i. L. (Insolvenzschuldnerin). In der ersten Hälfte des Jahres 2018 bewarb sich der Beklagte bei der Insolvenzschuldnerin auf eine Stelle als Co-Pilot. Zu diesem Zeitpunkt war er Inhaber einer allgemeinen Erlaubnis zum Verkehrsflugzeugführer, verfügte jedoch nicht über die Musterberechtigung, um das Flugzeugmuster Airbus A320 Family zu fliegen. Die Musterberechtigung ist zwingender Bestandteil der erforderlichen Luftfahrterlaubnis für ein bestimmtes Flugzeugmuster und wird durch eine mehrmonatige theoretische und praktische Einweisung mit anschließender Prüfung erworben.;
2 AZR 79/23;Die Parteien streiten über den Fortbestand des zwischen ihnen bestehenden Arbeitsverhältnisses und einen Beschäftigungsanspruch. Der Kläger war langjährig bei der Beklagten - einer Kraftfahrzeugherstellerin - beschäftigt. Diese betrieb ua. in R und D ein Entwicklungszentrum (im Folgenden: ITEZ) mit etwa 6.000 Beschäftigten. Die Beklagte und die S GmbH (im Folgenden: S) schlossen Ende 2018/Anfang 2019 eine Vereinbarung (Master Asset Purchase Agreement) über die Übernahme eines Teils des ITEZ. Dies betraf schwerpunktmäßig den Bereich Fahrzeug- und Antriebsstrangentwicklung sowie die dazugehörigen Testanlagen, Gebäude, IT-Hardware und Software sowie Büromöbel- und Ausstattung in R. Darüber hinaus pachtete S von der Beklagten deren Teststrecke in D. In dem bei der Beklagten verbleibenden Teil des ITEZ führt diese weiterhin Tätigkeiten im Bereich Design, Seats, Restraint, ADAS und TDO aus. Zu diesem Zeitpunkt waren bei S rund 30 Beschäftigte tätig.;
5 AZR 235/23;Die Parteien streiten über Entgeltfortzahlung im Krankheitsfall im Zusammenhang mit einer SARS-CoV-2-Infektion. Die Klägerin ist seit Dezember 2020 bei der Beklagten, die Pflegeeinrichtungen betreibt, als Pflegefachkraft zu einem Bruttomonatsgehalt iHv. zuletzt 3.196,22 Euro beschäftigt. Die Zahlung der Vergütung erfolgt bis zum 15. Kalendertag des Folgemonats. Gemäß § 1 Abs. 2 des Arbeitsvertrags finden auf das Arbeitsverhältnis die Richtlinien für Arbeitsverträge des bpa Arbeitgeberverbandes e.V. idF vom 6. November 2017 (AVR) Anwendung. Nach § 9 Abs. 4 Satz 2 AVR ist § 616 BGB abbedungen.;
4 AZR 154/23;Die Parteien streiten über die zutreffende Eingruppierung der Klägerin. Die Klägerin ist seit 1993 beim beklagten Land als Leiterin der Galerie P und der Kunstsammlung des B beschäftigt. Sie verfügt in den Fächern Kunsterziehung und Germanistik über ein erstes Staatsexamen und im Fach Pädagogik über ein Diplom. Das beklagte Land hat ihr bescheinigt, dass ihr Hochschulabschluss Diplomlehrer formal einer Ersten Staatsprüfung für das Amt des Lehrers mit fachwissenschaftlicher Ausbildung in zwei Fächern gleichwertig ist. Nach dem Arbeitsvertrag der Parteien bestimmt sich das Arbeitsverhältnis nach dem Ersten Tarifvertrag zur Anpassung des Tarifrechts - Manteltarifliche Vorschriften - (BAT-O) vom 10. Dezember 1990 und den diesen ergänzenden, ändernden oder ersetzenden Tarifverträgen in der für den Bereich der Tarifgemeinschaft deutscher Länder (TdL) jeweils geltenden Fassung. Das beklagte Land vergütete die Klägerin zunächst nach Vergütungsgruppe Vb BAT-O und nach Überleitung in den Tarifvertrag für den öffentlichen Dienst der Länder (TV-L) nach Entgeltgruppe 9 TV-L. Mit Schreiben vom Dezember 2017 begehrte die Klägerin eine Vergütung nach Entgeltgruppe 13 TV-L.;
4 AZR 964/13;Erfordernis wissenschaftlicher Hochschulausbildung;
8 AZR 187/23;Die Parteien streiten darüber, ob der Beklagte verpflichtet ist, die von ihm an der J-Universität W (im Folgenden Universität) ausgeschriebene Stelle einer technischen Assistenz am Institut für Pathologie mit dem Kläger zu besetzen. Der schwerbehinderte Kläger war zunächst vom 19. April 2010 bis zum 31. März 2016 auf der Grundlage von insgesamt sieben befristeten Arbeitsverträgen bei dem Universitätsklinikum W (im Folgenden Universitätsklinikum) beschäftigt. Seit dem 1. April 2016 ist er aufgrund eines zunächst bis zum 30. Juni 2019 befristeten Arbeitsvertrags mit dem Beklagten bei der Universität beschäftigt. Mit Änderungsvertrag vom 12. Juni 2019 haben die Parteien das Arbeitsverhältnis bei der Universität bis zum 30. Juni 2023 befristet verlängert. Über die Wirksamkeit dieser letzten Befristung des Arbeitsverhältnisses streiten die Parteien in einem gesonderten Verfahren. Im Januar 2022 schrieb der Beklagte eine Stelle für einen technischen Assistenten am Institut für Pathologie an der Universität für interne und externe Bewerber aus. Nach der Ausschreibung war die Stelle für zwei Jahre befristet mit der Option auf eine Vertragsverlängerung. Der Kläger bewarb sich auf diese Stelle und der Leiter des Pathologischen Instituts beantragte die Umsetzung des Klägers bei der Personalabteilung. Die Personalabteilung lehnte den Antrag auf Umsetzung des Klägers ab und führte zur Begründung aus, aufgrund der Vorbeschäftigungszeiten sei ein weiteres befristetes Arbeitsverhältnis an der Universität nicht mehr zumutbar.;
7 AZR 16/17;Orientierungssatz;1. Der unbeschränkt und vorbehaltlos gewährleistete Grundsatz der Bestenauslese aus Art 33 Abs 2 GG begründet grundrechtsgleiche Rechte auf ermessens- und beurteilungsfehlerfreie Einbeziehung in die Bewerberauswahl. Bewerbern steht deshalb bei der Besetzung von Stellen des öffentlichen Dienstes ein verfassungsrechtlicher Bewerbungsverfahrensanspruch zu. Daraus folgt angesichts der Kriterien Eignung, Befähigung und fachliche Leistung in Art 33 Abs 2 GG ein subjektives Recht jedes Bewerbers auf chancengleiche Teilnahme am Bewerbungsverfahren. Öffentliche Ämter im Sinne von Art 33 Abs 2 GG sind nicht nur Beamtenstellen, sondern auch Stellen, die ein Arbeitgeber des öffentlichen Dienstes mit Arbeitnehmern zu besetzten beabsichtigt.(Rn.16) 2. Die Vorentscheidungen, die zur Existenz eines verfügbaren öffentlichen Amtes führen, unterfallen der Organisationsgewalt des staatlichen Rechtsträgers. Ein subjektives Recht auf Ausbringung einer bestimmten Planstelle besteht nicht. Über die Einrichtung und nähere Ausgestaltung von Dienstposten entscheidet der Dienstherr nach organisatorischen Bedürfnissen und Möglichkeiten.(Rn.17)
6 AZR 126/23;Die Parteien streiten - soweit für die Revision relevant - über die Stufenzuordnung der Klägerin in der Entgeltgruppe 9b TVöD (VKA) in der Zeit vom 1. Oktober 2017 bis zum 28. Februar 2022 vor dem Hintergrund in Anspruch genommener Elternzeiten. Die Klägerin ist seit dem 1. März 2006 beim Beklagten als Sachbearbeiterin Leistungsgewährung SGB II beschäftigt. Auf das Arbeitsverhältnis finden aufgrund arbeitsvertraglicher Bezugnahme der Tarifvertrag für den öffentlichen Dienst (TVöD) in der für die kommunalen Arbeitgeber (VKA) sowie die diesen ergänzenden Tarifverträge in der jeweils geltenden Fassung Anwendung. Auf der Grundlage der Vergütungsordnung in Anlage 1a zum BAT bewertete der Beklagte die Tätigkeit der Klägerin bei ihrer Einstellung in Anwendung von § 17 Abs. 7 des Tarifvertrags zur Überleitung der Beschäftigten der kommunalen Arbeitgeber in den TVöD und zur Regelung des Übergangsrechts (TVÜ-VKA) in der bis zum 31. Dezember 2016 geltenden Fassung (iF TVÜ-VKA aF) nach der Vergütungsgruppe Vc Fallgruppe 1b Teil I der Anlage 1a zum BAT und vergütete sie entsprechend der inzwischen aufgehobenen Anlage 3 zum TVÜ-VKA aF aus der Entgeltgruppe 8.;
5 AZR 177/23;Die Parteien streiten - soweit für die Revision von Bedeutung - über Vergütung wegen Annahmeverzugs für die Zeit vom 1. Januar 2018 bis zum 30. August 2020. Der 1966 geborene Kläger ist seit dem 13. Mai 1991 bei der Beklagten bzw. deren Rechtsvorgängerin beschäftigt, zuletzt als Maschinenbeschicker. Er verfügt über keine abgeschlossene Berufsausbildung. Auf das Arbeitsverhältnis zwischen den Parteien finden die Tarifverträge der Metall- und Elektroindustrie Anwendung.;
5 AZR 205/21;Zu beachtende Normen bei Annahmeverzug;
5 AZR 30/22;Beachtung sozialrechtlicher Handlungspflichten im Rahmen einer Gesamtabwägung;
2 AZR 196/22;Die Parteien streiten über die Wirksamkeit zweier Kündigungen wegen eines Kirchenaustritts sowie damit verbundene Zahlungsansprüche. Der beklagte Verein ist ein Frauen- und Fachverband in der katholischen Kirche in Deutschland, der sich der Hilfe für Kinder, Jugendliche, Frauen und ihrer Familien in besonderen Lebenslagen widmet. Zu seinen Aufgaben gehört die Beratung von schwangeren Frauen. Für die Schwangerschaftsberatung gelten bei dem Beklagten Richtlinien, auf deren Einhaltung sich die Klägerin verpflichtet hat. Diese lauten auszugsweise: „Der Schutz des menschlichen Lebens von seinem Beginn bis zum Ende ist ein Gebot Gottes. Auf dieser Grundlage leistet die Katholische Kirche Beratung und Hilfe ... Diese Beratungstätigkeit gehört zum Selbstverständnis und zum eigenen Auftrag der Katholischen Kirche. ... Der kirchliche Einsatz für den Schutz des ungeborenen Lebens und das Angebot zur Beratung und Hilfe für schwangere Frauen in Not- und Konfliktsituationen werden auch weiterhin aufrechterhalten. …;
1 AZR 74/23;Die Parteien streiten über eine Prämie. Die Beklagte betreibt in V ein Krankenhaus mit verschiedenen somatischen Fachabteilungen, deren Leistungen nach dem Krankenhausentgeltgesetz (KHEntgG) auf der Grundlage diagnosebezogener Fallpauschalen abgerechnet werden. Zum Krankenhaus gehört zudem eine Abteilung für die Fachbereiche Psychiatrie, Psychotherapie und Psychosomatik (im Folgenden: psychiatrische Abteilung), deren Leistungen nach der Bundespflegesatzverordnung abgerechnet werden. Die psychiatrische Abteilung umfasst vier bettenführende Stationen, in denen insgesamt 93 Pflegekräfte, darunter die Klägerin, beschäftigt sind. Die dort behandelten Patienten benötigen insbesondere Unterstützung bei der Körperpflege, dem Toilettengang, der Mobilisation und der Nahrungsaufnahme. Im Jahr 2020 wurden sowohl auf den bettenführenden somatischen als auch den psychiatrischen Stationen Patienten behandelt, die mit dem Coronavirus SARS-CoV-2 infiziert waren. Da das Krankenhaus der Beklagten durch die Behandlung solcher Patienten besonders belastet war, erhielt es auf der Grundlage von § 26d Krankenhausfinanzierungsgesetz (KHG) im Frühjahr 2021 vom Spitzenverband Bund der Krankenkassen aus der Liquiditätsreserve des Gesundheitsfonds Mittel zur Auszahlung einer „erweiterten Sonderleistung an Pflegekräfte“ und andere Beschäftigte iHv. 718.989,60 Euro.;
8 AZR 318/22;Die Parteien streiten über einen Anspruch des Klägers auf Zahlung einer Entschädigung nach § 15 Abs. 2 AGG wegen eines Verstoßes gegen das Verbot der Diskriminierung aufgrund einer Schwerbehinderung im Rahmen eines Bewerbungsverfahrens. Der Beklagte ist ein Kirchenkreis der Evangelischen Kirche im Rheinland und als solcher eine Körperschaft des öffentlichen Rechts. Er schrieb für sein Verwaltungsamt eine Stelle in der Finanzbuchhaltung aus. Der Kläger bewarb sich unter Angabe seiner kaufmännischen Qualifikationen und seiner Schwerbehinderung auf diese Stelle. Eine Einladung zu einem Vorstellungsgespräch erfolgte nicht. Die Bewerbung hatte keinen Erfolg.;
2 AZR 55/23;Die Parteien streiten vorrangig über die Wirksamkeit einer außerordentlichen fristlosen Kündigung. Die Klägerin war seit 1988 in einem von der Beklagten betriebenen Krankenhaus beschäftigt, zuletzt als Pflegehelferin. Mit Schreiben vom 17. Dezember 2021 informierte die Beklagte alle betroffenen Mitarbeiter über die zum 16. März 2022 in Kraft tretende sog. einrichtungsbezogene Impfpflicht und bat um Vorlage der von § 20a Abs. 2 IfSG in der Fassung vom 10. Dezember 2021 (im Folgenden IfSG aF) verlangten Nachweise, darunter ggf. ein solcher, dass sie aufgrund einer medizinischen Kontraindikation nicht gegen das Coronavirus Sars-CoV-2 geimpft werden konnten.;
2 AZR 66/23;Orientierungssatz;1. Aus § 20a Abs 5 S 3 IfSG aF, der das Gesundheitsamt ermächtigte, gegenüber einer vor dem 16. März 2022 bereits beschäftigten Person ein Betretungs- bzw. Beschäftigungsverbot auszusprechen, ergab sich keine Sperrwirkung im Hinblick auf die außerordentliche Kündigung eines Arbeitsverhältnisses gemäß § 626 Abs 1 BGB. Vielmehr kamen nach der erklärten Vorstellung des Gesetzgebers bei einem Verstoß gegen die Nachweispflicht neben öffentlich-rechtlichen Sanktionen auch arbeitsrechtliche Konsequenzen in Betracht.(Rn.18)
